,Counts,Quant,cal
HSM67VDR_P,21426526,5.693,0.920671163
HSM6XRUL,26840449,19.78925109,4.069119289
HSM6XRUN,26239170,119.1729465,24.89910652
HSM6XRUR,32641979,56.81462243,13.67112025
HSM6XRQ8,32585625,11.40784184,2.649661602
HSM7CZ16,14693772,37.40320109,8.936470173
HSM7CZ18,14089904,93.34893313,21.61340136
HSM7CZ1A,42668865,29.78098103,6.312257397
HSM7CZ1C,39897863,0.007501197,0.001717122
HSM7CZ1E,31593476,5.177167987,1.211148394
HSM7CZ1G,22882811,13.42755699,3.119503808
HSM7J4HA,18395372,61.29669848,14.02109658
HSM7J4HC,30469574,130.1953,26.97546904
HSM7J4HE,30949507,6.426862439,1.470248287
HSM7J4HG,15578912,150.4789148,32.83664247
HSM7J4HI,32377190,27.70295709,5.900118198
HSM7J4HK,21219997,19.4577541,4.313950777
HSM7J4KC,32236366,68.49951398,15.87560475
HSM7J4KG,17264556,2.456097316,0.560735831
HSM7J4KI,28434811,126.4812079,27.20068797
HSM7J4KK,38617815,9.596539188,1.93284938
HSM7J4KM,24148115,116.2880276,27.5507611
